title,summary,url
Empire State Manufacturing Survey," Business activity declined in New York State for the first time since early in the pandemic, according to firms responding to the March 2022 Empire State Manufacturing Survey. ",/survey/empire/empiresurvey_overview
Business Leaders Survey," Business activity perked up in the region’s service sector, according to firms responding to the Federal Reserve Bank of New York’s March 2022 Business Leaders Survey. ",/survey/business_leaders/bls_overview
Supplemental Survey Report," Supplementary questions to the February Empire State Manufacturing Survey and Business Leaders Survey focused on a number of issues concerning supply disruptions and labor-related issues involving staffing, the degree of absenteeism, and compensation. ",/survey/business_leaders/supplemental_survey_report
The Labor Market for Recent College Graduates," Job prospects continued to improve for recent college graduates through the end of 2021. The unemployment rate fell to 4.8 percent, while the underemployment rate was little changed at 41.3 percent. ",/research/college-labor-market/index
Nowcasting Report, Weekly report tracks the evolution of the New York Fed Staff Nowcast of GDP growth and the impact of new macroeconomic data releases on the forecast. ,/research/policy/nowcast
Measuring the Natural Rate of Interest," The Laubach-Williams and Holston-Laubach-Williams models provide estimates of the natural rate of interest, or r-star, and related variables for the United States and other advanced economies. We share quarterly estimates as well as the replication code and documentation for both models. ",/research/policy/rstar
The Global Dash for Cash: Why Sovereign Bond Market Functioning Varied across Jurisdictions in March 2020," As the economic disruptions associated with the COVID-19 pandemic increased in March 2020, there was a global dash-for-cash by investors. This selling pressure occurred across advanced sovereign bond markets and caused a deterioration in market functioning, leading to central bank interventions. The authors show that these market disruptions occurred disproportionately in the U.S. Treasury market and were due to investors’ selling pressures being far more pronounced and broad-based.",/research/staff_reports/sr1010
"Money Market Fund Vulnerabilities: A Global Perspective
"," Money market funds (MMFs) operate in a niche between the capital markets and the banking system, as investment funds that offer private money-like assets with features similar to those of bank deposits. Hence, they are vulnerable to runs that arise from liquidity transformation and from sudden changes in investor perceptions of the funds’ ability to serve as money-like assets. Since 2000, MMF runs have occurred in many countries and under many regulatory regimes. The global pattern of runs and crises shows that MMF vulnerabilities are not unique to a particular set of governing arrangements, and that mitigating these vulnerabilities requires fundamental reforms that either place MMFs more clearly within the investment-fund sector or establish protections for MMFs similar to those for deposits.",/research/staff_reports/sr1009
Monetary Policy and the Run Risk of Loan Funds," Open-end mutual funds have become increasingly important financial intermediaries, and the volatility of their investors' flows can have major repercussions for financial stability. The authors find empirical evidence suggesting that loan funds, which are key credit providers in the leveraged lending market, are much more vulnerable to run risk than any other category of debt mutual funds. Building on the institutional features of the asset holdings of loan funds, the authors further document the role of monetary policy as a coordinating factor driving loan funds' investor flows and their volatility, suggesting a novel channel of monetary policy transmission. ",/research/staff_reports/sr1008
A New Approach to Assess Inflation Expectations Anchoring Using Strategic Surveys," Long-run inflation expectations that are consistent with an (implicit or explicit) central bank’s inflation objective are viewed as one measure of successful monetary policy. The authors propose a new approach for assessing the anchoring of inflation expectations using “strategic surveys.” Namely, they measure households’ revisions in long-run inflation expectations after they are presented with different economic scenarios. A key advantage of this approach is that it provides a causal interpretation in terms of how inflation events affect long-run inflation expectations.",/research/staff_reports/sr1007
Government Procurement and Access to Credit: Firm Dynamics and Aggregate Implications," A government’s purchase of goods and services is done by awarding public procurement contracts to private firms. The authors employ a newly created panel data set of administrative data that merges Spanish credit register loan data, quasi-census ﬁrm-level data, and public procurement projects to study ﬁrm selection into procurement and the eﬀects of procurement on credit growth and ﬁrm growth.",/research/staff_reports/sr1006
Who Can Tell Which Banks Will Fail?," Understanding depositor behavior in banking crises is key to evaluating the policy measures to prevent them. In this paper, the authors ask—in the absence of deposit insurance—how do depositors behave in a bank run? They study a key event of the Great Depression, the 1931 run on the German banking system, to establish which types of depositors are able to discriminate between failing and surviving banks in a bank run.",/research/staff_reports/sr1005
Exorbitant Privilege? Quantitative Easing and the Bond Market Subsidy of Prospective Fallen Angels," Prospective fallen angels—risky firms just above the investment-grade (IG) rating cutoff—have enjoyed subsidized bond financing since 2009, especially when the scale of quantitative easing (QE) purchases peaked and from IG-focused investors that held more securities purchased in QE programs. The benefiting firms used this privilege to fund risky acquisitions and increase market share, exploiting the sluggish adjustment of credit ratings in downgrading after M&A and adversely affecting competitors' employment and investment. Eventually, these firms suffered more severe downgrades at the onset of the pandemic. ",/research/staff_reports/sr1004
Financial Stability Considerations for Monetary Policy: Empirical Evidence and Challenges," The authors review literature on the empirical relationship between vulnerabilities in the financial system and the macroeconomy, and how monetary policy affects that connection. They discuss evidence and draw lessons from long time series and microeconomic studies that focus on links between asset valuations, financial intermediaries, monetary policy and the macroeconomy. ",/research/staff_reports/sr1003
